Who was the only woman ruler of the Delhi Sultanate?|Razia Sultana|Nur Jahan|Chand Bibi|Rani Durgavati|Daughter of Iltutmish; mid-13th century.
Where did the Jallianwala Bagh massacre (1919) occur?|Amritsar|Lahore|Delhi|Meerut|General Dyer firing on a crowd.
Who founded the Maurya Empire?|Chandragupta Maurya|Ashoka|Bindusara|Samudragupta|Often linked to Chanakya's counsel.
Who declared Swaraj is my birthright and I shall have it?|Bal Gangadhar Tilak|Lala Lajpat Rai|Bipin Chandra Pal|Aurobindo Ghose|Extremist-era Congress leader.
The Hampi ruins are most associated with which empire?|Vijayanagara Empire|Chola Empire|Maratha Empire|Mughal Empire|Capital region in Karnataka.
Who is honoured as the Father of the Nation in India?|Mahatma Gandhi|Jawaharlal Nehru|Sardar Patel|B.R. Ambedkar|Popular title for Mohandas Karamchand Gandhi.
Which Chinese pilgrim left detailed accounts of India in Harsha's time?|Xuanzang (Hiuen Tsang)|Fa-Hien|Megasthenes|Al-Biruni|7th century Buddhist traveller.
The Dandi March (1930) protested chiefly against?|The British salt monopoly and salt tax|Income tax only|Land revenue only|Press censorship alone|Civil Disobedience landmark.
Who was the last British Viceroy of India?|Lord Mountbatten|Lord Wavell|Lord Linlithgow|Lord Irwin|Partition and independence transition.
Which ancient Indian university was a major Buddhist learning centre?|Nalanda|Takshashila only in Pakistan today|Vikramashila|Pushpagiri|Bihar region; destroyed in 12th century.
Which Indian state has the longest mainland coastline (excluding islands tally nuances in textbooks)?|Gujarat|Maharashtra|Tamil Nadu|Andhra Pradesh|Kathiawar and Gulf of Kutch contribute length.
Which Bihar river is nicknamed the Sorrow of Bihar for floods?|Kosi River|Son River|Gandak River|Damodar River|Shifting course and avulsion risk.
What is the capital of the Andaman and Nicobar Islands UT?|Port Blair|Kavaratti|Silvassa|Daman|Largest town and admin HQ.
Which latitude line cuts across central India?|Tropic of Cancer (about 23.5° N)|Equator|Tropic of Capricorn|Arctic Circle|Passes through eight Indian states.
What is the highest mountain peak fully in India?|Kanchenjunga|Mount Everest|Nanda Devi|Kamet|Third-highest in world; on India–Nepal border; school framing as India's highest peak.
Which Indian state is the largest producer of tea?|Assam|West Bengal|Kerala|Tamil Nadu|Climate suited to Camellia sinensis.
The Sundarbans mangrove delta is mainly formed by which two river systems?|Ganga and Brahmaputra|Godavari and Krishna|Narmada and Tapi|Indus and Jhelum|World's largest mangrove block.
Which is the smallest Indian state by area?|Goa|Sikkim|Manipur|Mizoram|Roughly 3700 sq km order.
Which longitude is used as the Indian Standard Time reference meridian?|82°30' E|68° E|88° E|90° E|Passes near Mirzapur, Uttar Pradesh.
In which atmospheric layer is the ozone layer chiefly found?|Stratosphere|Troposphere|Mesosphere|Thermosphere|UV absorption band.
Which major desert lies mainly in northwest India?|Thar Desert (Great Indian Desert)|Cold Desert Ladakh only|Rann of Kutch only|Deccan scrub only|Mostly Rajasthan and parts of adjoining states.
Which country shares the longest land border with India?|Bangladesh|China|Pakistan|Myanmar|Length order commonly asked in exams.
Which state is popularly called the Land of Five Rivers?|Punjab|Haryana|Sindh (now Pakistan)|Rajasthan|Persian panj-ab etymology.
India's coastline length (mainland plus major islands, official figure often quoted) is about?|7516.6 km|5000 km|6000 km|9000 km|Includes Andaman & Nicobar and Lakshadweep in total.
Which is often cited as India's largest freshwater lake?|Wular Lake|Chilika Lake|Pulicat Lake|Kolleru Lake|Jammu and Kashmir context; size varies seasonally.
What do you call land surrounded by water on three sides?|A peninsula|An isthmus|An archipelago|A lagoon|Indian peninsula example in NCERT.
Which forest type is most widespread in monsoon India?|Tropical deciduous forest|Tropical evergreen|Thorn forest|Tundra|Seasonal leaf fall.
Which is often listed as India's highest waterfall?|Kunchikal Falls|Jog Falls|Dudhsagar Falls|Barehipani Falls|Shimoga region Karnataka; monsoon-fed.
Which canal links the Mediterranean Sea to the Red Sea?|Suez Canal|Panama Canal|Kiel Canal|Malacca Strait|Major shipping shortcut.
Besides CO2, which gas is a major greenhouse gas from paddy fields and livestock?|Methane|Neon|Argon|Helium|Strong per-molecule warming; short-lived climate forcer.
Who is the RBI Governor often cited in 2024–2026 exam current-affairs lists?|Shaktikanta Das|Urjit Patel|Raghuram Rajan|Y V Reddy|25th Governor in common numbering.
SEBI is India's regulator mainly for?|Securities and capital markets|Commercial banking only|Life insurance only|Foreign trade policy only|Stock exchanges and market conduct.
Which city is nicknamed India's Silicon Valley?|Bengaluru (Bangalore)|Hyderabad|Pune|Chennai|IT and startup concentration.
Who won the Nobel Peace Prize in 2024?|Nihon Hidankyo|Malala Yousafzai|Greta Thunberg|IAEA|Japanese hibakusha movement honoured.
How many Olympic medals did India win at Paris 2024 (official total commonly reported)?|6 medals|5 medals|7 medals|8 medals|1 silver, 5 bronze in common tally.
What does GST stand for?|Goods and Services Tax|General Sales Tax|Government Service Tariff|Gross State Tax|Indirect tax on supply chain.
Who was India's first individual Olympic gold medallist?|Abhinav Bindra|Rajyavardhan Singh Rathore|Leander Paes|Karnam Malleswari|10m air rifle, Beijing 2008.
What is the normal tenure of a state Governor in India?|5 years|6 years|4 years|Co-terminus with Chief Minister only|Appointment by President; pleasure doctrine nuances.
Which UN agency publishes the Human Development Index?|UNDP|WHO|World Bank|IMF|Health, education, income composite.
What does NITI stand for in NITI Aayog?|National Institution for Transforming India|National Integration and Trade Institute|National Infrastructure and Transport Index|New Industrial Tax of India|Replaced Planning Commission in 2015.
Which swimmer is the most decorated Olympian of all time?|Michael Phelps|Ian Thorpe|Mark Spitz|Caeleb Dressel|28 Olympic medals narrative.
Which cricketer is popularly called the God of Cricket?|Sachin Tendulkar|Virat Kohli|MS Dhoni|Kapil Dev|International run aggregate legend.
What is India's popular instant retail payment interface called?|UPI (Unified Payments Interface)|NEFT|RTGS|IMPS only|NPCI backbone; QR and P2P.
When is International Yoga Day observed?|June 21|June 5|December 10|March 8|UN resolution on India's proposal.
Which city will host the 2028 Summer Olympics?|Los Angeles|Paris|Brisbane|Tokyo|Third time hosting for LA.
Who was the first Indian woman Nobel laureate?|Mother Teresa|C V Raman|Amartya Sen|Kailash Satyarthi|Peace Prize 1979; naturalized Indian citizen framing in many GK lists.
What is the capital of Ukraine?|Kyiv|Kharkiv|Odessa|Lviv|Eastern Europe geography fact.
Which Indian state often tops literacy rankings in surveys?|Kerala|Tamil Nadu|Mizoram|Goa|Human development and education indicators.
Who is the UN Secretary-General as of common 2024–2026 lists?|António Guterres|Ban Ki-moon|Antonio Gutierrez misspell distractor|Kofi Annan|Portuguese diplomat; ninth SG.
What was Operation Ganga (2022)?|Evacuation of Indian nationals from Ukraine|Flood rescue in Kerala only|Airlift from Yemen only|COVID vaccine mission|Russia–Ukraine conflict context.
